pdb_id	pdb_chain_id	species	type	descr
1ao7	A	HomoSapiens	mhc	HLA-A 0201
1ao7	B	HomoSapiens	mhc	BETA-2 MICROGLOBULIN
1ao7	D	HomoSapiens	tcr	T CELL RECEPTOR ALPHA
1ao7	E	HomoSapiens	tcr	T CELL RECEPTOR BETA
1ao7	C	Primate T-lymphotropic virus 1	antigen	TAX PEPTIDE
1bd2	A	HomoSapiens	mhc	HLA-A 0201
1bd2	B	HomoSapiens	mhc	BETA-2 MICROGLOBULIN
1bd2	D	HomoSapiens	tcr	T CELL RECEPTOR ALPHA
1bd2	E	HomoSapiens	tcr	T CELL RECEPTOR BETA
1bd2	C	Primate T-lymphotropic virus 1	antigen	TAX PEPTIDE
1d9k	C	MusMusculus	mhc	MHC I-AK A CHAIN (ALPHA CHAIN)
1d9k	D	MusMusculus	mhc	MHC I-AK B CHAIN (BETA CHAIN)
1d9k	A	MusMusculus	tcr	T-CELL RECEPTOR D10 (ALPHA CHAIN)
1d9k	B	MusMusculus	tcr	T-CELL RECEPTOR D10 (BETA CHAIN)
1d9k	P	MusMusculus	antigen	CONALBUMIN PEPTIDE
1fo0	H	MusMusculus	mhc	PROTEIN (ALLOGENEIC H-2KB MHC CLASS I MOLECULE)
1fo0	L	MusMusculus	mhc	PROTEIN (BETA-2 MICROGLOBULIN)
1fo0	A	MusMusculus	tcr	PROTEIN (BM3.3 T CELL RECEPTOR ALPHA-CHAIN)
1fo0	B	MusMusculus	tcr	PROTEIN (BM3.3 T CELL RECEPTOR BETA-CHAIN)
1fo0	P	MusMusculus	antigen	NATURALLY PROCESSED OCTAPEPTIDE PBM1
1fyt	A	HomoSapiens	mhc	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN
1fyt	B	HomoSapiens	mhc	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR-1 BETA CHAIN
1fyt	D	HomoSapiens	tcr	T-CELL RECEPTOR ALPHA CHAIN
1fyt	E	HomoSapiens	tcr	T-CELL RECEPTOR BETA CHAIN
1fyt	C	Influenza A virus	antigen	HEMAGGLUTININ HA1 PEPTIDE CHAIN
1g6r	H	MusMusculus	mhc	MAJOR HISTOCOMPATIBILITY COMPLEX CLASS I MOLECULE
1g6r	L	MusMusculus	mhc	BETA-2 MICROGLOBULIN
1g6r	A	MusMusculus	tcr	ALPHA T CELL RECEPTOR
1g6r	B	MusMusculus	tcr	BETA T CELL RECEPTOR
1g6r	P	unknown	antigen	SIYR PEPTIDE
1j8h	A	HomoSapiens	mhc	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN
1j8h	B	HomoSapiens	mhc	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR-4 BETA CHAIN
1j8h	D	HomoSapiens	tcr	T-CELL RECEPTOR ALPHA CHAIN
1j8h	E	HomoSapiens	tcr	T-CELL RECEPTOR BETA CHAIN
1j8h	C	Influenzavirus A	antigen	HEMAGGLUTININ HA1 PEPTIDE CHAIN
1kj2	H	MusMusculus	mhc	Allogeneic H-2Kb MHC Class I Molecule
1kj2	L	MusMusculus	mhc	Beta-2 microglobulin
1kj2	A	MusMusculus	tcr	KB5-C20 T-Cell receptor alpha-chain
1kj2	B	MusMusculus	tcr	KB5-C20 T-Cell receptor beta-chain
1kj2	P	MusMusculus	antigen	Naturally processed octapeptide PKB1
