ag_left,ag_right,tcr_left,tcr_right,corr10
-1,1,-1,3,-0.136184
-1,1,-1,4,-0.136184
-1,1,0,0,-0.143802
-1,1,0,1,-0.143802
-1,1,0,2,-0.143802
-1,1,0,3,-0.143802
-1,1,0,4,-0.143802
0,0,-4,0,0.084480
0,0,-4,1,0.084480
0,0,-4,2,0.084480
0,0,-4,3,0.084480
0,0,-4,4,0.084480
0,0,-3,0,0.103914
0,0,-3,1,0.103914
0,0,-3,2,0.103914
0,0,-3,3,0.103914
0,0,-3,4,0.103914
0,0,-2,0,-0.011527
0,0,-2,1,-0.011654
0,0,-2,2,-0.011654
0,0,-2,3,-0.011654
0,0,-2,4,-0.011654
0,0,-1,0,0.006872
0,0,-1,1,0.006775
0,0,-1,2,0.006775
0,0,-1,3,0.006775
0,0,-1,4,0.006775
0,0,0,0,-0.036559
0,0,0,1,-0.036802
0,0,0,2,-0.036802
0,0,0,3,-0.036802
0,0,0,4,-0.036802
0,1,-4,0,0.084480
0,1,-4,1,0.084480
0,1,-4,2,0.084480
0,1,-4,3,0.084480
0,1,-4,4,0.084480
0,1,-3,0,0.103914
0,1,-3,1,0.103914
0,1,-3,2,0.103914
0,1,-3,3,0.103914
0,1,-3,4,0.103914
0,1,-2,0,-0.011527
0,1,-2,1,-0.011654
0,1,-2,2,-0.011654
0,1,-2,3,-0.011654
0,1,-2,4,-0.011654
0,1,-1,0,0.006872
0,1,-1,1,0.006775
0,1,-1,2,0.006775
0,1,-1,3,0.006775
0,1,-1,4,0.006775
0,1,0,0,-0.036559
0,1,0,1,-0.036802
0,1,0,2,-0.036802
0,1,0,3,-0.036802
0,1,0,4,-0.036802
