ag_left,ag_right,tcr_left,tcr_right,corr10
-4,0,-4,0,0.219834
-4,0,-4,1,0.219834
-4,0,-4,2,0.219834
-4,0,-4,3,0.219834
-4,0,-4,4,0.219834
-4,0,-3,0,0.107557
-4,0,-3,1,0.107557
-4,0,-3,2,0.107557
-4,0,-3,3,0.107557
-4,0,-3,4,0.107557
-4,0,-2,0,0.151531
-4,0,-2,1,0.151531
-4,0,-2,2,0.151531
-4,0,-2,3,0.151531
-4,0,-2,4,0.151531
-4,0,-1,0,0.036516
-4,0,-1,1,0.036023
-4,0,-1,2,0.036023
-4,0,-1,3,0.036023
-4,0,-1,4,0.036023
-4,0,0,0,-0.035503
-4,0,0,1,-0.036161
-4,0,0,2,-0.036161
-4,0,0,3,-0.036161
-4,0,0,4,-0.036161
-4,1,-4,0,0.219834
-4,1,-4,1,0.219834
-4,1,-4,2,0.219834
-4,1,-4,3,0.219834
-4,1,-4,4,0.219834
-4,1,-3,0,0.107557
-4,1,-3,1,0.107557
-4,1,-3,2,0.107557
-4,1,-3,3,0.107557
-4,1,-3,4,0.107557
-4,1,-2,0,0.151531
-4,1,-2,1,0.151531
-4,1,-2,2,0.151531
-4,1,-2,3,0.151531
-4,1,-2,4,0.151531
-4,1,-1,0,0.034597
-4,1,-1,1,0.034099
-4,1,-1,2,0.034099
-4,1,-1,3,0.034099
-4,1,-1,4,0.034099
-4,1,0,0,-0.035553
-4,1,0,1,-0.036213
-4,1,0,2,-0.036213
-4,1,0,3,-0.036213
-4,1,0,4,-0.036213
-4,2,-4,0,0.219834
-4,2,-4,1,0.219834
-4,2,-4,2,0.219834
-4,2,-4,3,0.219834
-4,2,-4,4,0.219834
-4,2,-3,0,0.107557
-4,2,-3,1,0.107557
-4,2,-3,2,0.107557
-4,2,-3,3,0.107557
-4,2,-3,4,0.107557
-4,2,-2,0,0.151531
-4,2,-2,1,0.151531
-4,2,-2,2,0.151531
-4,2,-2,3,0.151531
-4,2,-2,4,0.151531
-4,2,-1,0,0.034597
-4,2,-1,1,0.034099
-4,2,-1,2,0.034099
-4,2,-1,3,0.034099
-4,2,-1,4,0.034099
-4,2,0,0,-0.035553
-4,2,0,1,-0.036213
-4,2,0,2,-0.036213
-4,2,0,3,-0.036213
-4,2,0,4,-0.036213
-4,3,-4,0,0.219834
-4,3,-4,1,0.219834
-4,3,-4,2,0.219834
-4,3,-4,3,0.219834
-4,3,-4,4,0.219834
-4,3,-3,0,0.107557
-4,3,-3,1,0.107557
-4,3,-3,2,0.107557
-4,3,-3,3,0.107557
-4,3,-3,4,0.107557
-4,3,-2,0,0.151531
-4,3,-2,1,0.151531
-4,3,-2,2,0.151531
-4,3,-2,3,0.151531
-4,3,-2,4,0.151531
-4,3,-1,0,0.034597
-4,3,-1,1,0.034099
-4,3,-1,2,0.034099
-4,3,-1,3,0.034099
-4,3,-1,4,0.034099
-4,3,0,0,-0.035553
-4,3,0,1,-0.036213
-4,3,0,2,-0.036213
-4,3,0,3,-0.036213
-4,3,0,4,-0.036213
-4,4,-4,0,0.219834
-4,4,-4,1,0.219834
-4,4,-4,2,0.219834
-4,4,-4,3,0.219834
-4,4,-4,4,0.219834
-4,4,-3,0,0.107557
-4,4,-3,1,0.107557
-4,4,-3,2,0.107557
-4,4,-3,3,0.107557
-4,4,-3,4,0.107557
-4,4,-2,0,0.151531
-4,4,-2,1,0.151531
-4,4,-2,2,0.151531
-4,4,-2,3,0.151531
-4,4,-2,4,0.151531
-4,4,-1,0,0.034597
-4,4,-1,1,0.034099
-4,4,-1,2,0.034099
-4,4,-1,3,0.034099
-4,4,-1,4,0.034099
-4,4,0,0,-0.035553
-4,4,0,1,-0.036213
-4,4,0,2,-0.036213
-4,4,0,3,-0.036213
-4,4,0,4,-0.036213
-3,0,-4,0,0.273217
-3,0,-4,1,0.273217
-3,0,-4,2,0.273217
-3,0,-4,3,0.273217
-3,0,-4,4,0.273217
-3,0,-3,0,0.170794
-3,0,-3,1,0.170794
-3,0,-3,2,0.170794
-3,0,-3,3,0.170794
-3,0,-3,4,0.170794
-3,0,-2,0,0.173812
-3,0,-2,1,0.173812
-3,0,-2,2,0.173812
-3,0,-2,3,0.173812
-3,0,-2,4,0.173812
-3,0,-1,0,0.076003
-3,0,-1,1,0.075566
-3,0,-1,2,0.075566
-3,0,-1,3,0.075566
-3,0,-1,4,0.075566
-3,0,0,0,-0.067065
-3,0,0,1,-0.067837
-3,0,0,2,-0.067837
-3,0,0,3,-0.067837
-3,0,0,4,-0.067837
-3,1,-4,0,0.273217
-3,1,-4,1,0.273217
-3,1,-4,2,0.273217
-3,1,-4,3,0.273217
-3,1,-4,4,0.273217
-3,1,-3,0,0.170794
-3,1,-3,1,0.170794
-3,1,-3,2,0.170794
-3,1,-3,3,0.170794
-3,1,-3,4,0.170794
-3,1,-2,0,0.173812
-3,1,-2,1,0.173812
-3,1,-2,2,0.173812
-3,1,-2,3,0.173812
-3,1,-2,4,0.173812
-3,1,-1,0,0.074174
-3,1,-1,1,0.073733
-3,1,-1,2,0.073733
-3,1,-1,3,0.073733
-3,1,-1,4,0.073733
-3,1,0,0,-0.067201
-3,1,0,1,-0.067976
-3,1,0,2,-0.067976
-3,1,0,3,-0.067976
-3,1,0,4,-0.067976
-3,2,-4,0,0.273217
-3,2,-4,1,0.273217
-3,2,-4,2,0.273217
-3,2,-4,3,0.273217
-3,2,-4,4,0.273217
-3,2,-3,0,0.170442
-3,2,-3,1,0.170442
-3,2,-3,2,0.170442
-3,2,-3,3,0.170442
-3,2,-3,4,0.170442
-3,2,-2,0,0.173812
-3,2,-2,1,0.173812
-3,2,-2,2,0.173812
-3,2,-2,3,0.173812
-3,2,-2,4,0.173812
-3,2,-1,0,0.074174
-3,2,-1,1,0.073733
-3,2,-1,2,0.073733
-3,2,-1,3,0.073733
-3,2,-1,4,0.073733
-3,2,0,0,-0.067201
-3,2,0,1,-0.067976
-3,2,0,2,-0.067976
-3,2,0,3,-0.067976
-3,2,0,4,-0.067976
-3,3,-4,0,0.273217
-3,3,-4,1,0.273217
-3,3,-4,2,0.273217
-3,3,-4,3,0.273217
-3,3,-4,4,0.273217
-3,3,-3,0,0.170442
-3,3,-3,1,0.170442
-3,3,-3,2,0.170442
-3,3,-3,3,0.170442
-3,3,-3,4,0.170442
-3,3,-2,0,0.173812
-3,3,-2,1,0.173812
-3,3,-2,2,0.173812
-3,3,-2,3,0.173812
-3,3,-2,4,0.173812
-3,3,-1,0,0.074174
-3,3,-1,1,0.073733
-3,3,-1,2,0.073733
-3,3,-1,3,0.073733
-3,3,-1,4,0.073733
-3,3,0,0,-0.067201
-3,3,0,1,-0.067976
-3,3,0,2,-0.067976
-3,3,0,3,-0.067976
-3,3,0,4,-0.067976
-3,4,-4,0,0.273217
-3,4,-4,1,0.273217
-3,4,-4,2,0.273217
-3,4,-4,3,0.273217
-3,4,-4,4,0.273217
-3,4,-3,0,0.170442
-3,4,-3,1,0.170442
-3,4,-3,2,0.170442
-3,4,-3,3,0.170442
-3,4,-3,4,0.170442
-3,4,-2,0,0.173812
-3,4,-2,1,0.173812
-3,4,-2,2,0.173812
-3,4,-2,3,0.173812
-3,4,-2,4,0.173812
-3,4,-1,0,0.074174
-3,4,-1,1,0.073733
-3,4,-1,2,0.073733
-3,4,-1,3,0.073733
-3,4,-1,4,0.073733
-3,4,0,0,-0.067201
-3,4,0,1,-0.067976
-3,4,0,2,-0.067976
-3,4,0,3,-0.067976
-3,4,0,4,-0.067976
-2,0,-4,0,0.228845
-2,0,-4,1,0.228845
-2,0,-4,2,0.228845
-2,0,-4,3,0.228845
-2,0,-4,4,0.228845
-2,0,-3,0,0.093873
-2,0,-3,1,0.093873
-2,0,-3,2,0.093873
-2,0,-3,3,0.093873
-2,0,-3,4,0.093873
-2,0,-2,0,0.103149
-2,0,-2,1,0.103149
-2,0,-2,2,0.103149
-2,0,-2,3,0.103149
-2,0,-2,4,0.103149
-2,0,-1,0,0.012323
-2,0,-1,1,0.012323
-2,0,-1,2,0.012323
-2,0,-1,3,0.012323
-2,0,-1,4,0.012323
-2,0,0,0,-0.147544
-2,0,0,1,-0.140426
-2,0,0,2,-0.140426
-2,0,0,3,-0.140426
-2,0,0,4,-0.140426
-2,1,-4,0,0.228845
-2,1,-4,1,0.228845
-2,1,-4,2,0.228845
-2,1,-4,3,0.228845
-2,1,-4,4,0.228845
-2,1,-3,0,0.093873
-2,1,-3,1,0.093873
-2,1,-3,2,0.093873
-2,1,-3,3,0.093873
-2,1,-3,4,0.093873
-2,1,-2,0,0.102943
-2,1,-2,1,0.102943
-2,1,-2,2,0.102943
-2,1,-2,3,0.102943
-2,1,-2,4,0.102943
-2,1,-1,0,0.010050
-2,1,-1,1,0.010050
-2,1,-1,2,0.010050
-2,1,-1,3,0.010050
-2,1,-1,4,0.010050
-2,1,0,0,-0.147926
-2,1,0,1,-0.140791
-2,1,0,2,-0.140791
-2,1,0,3,-0.140791
-2,1,0,4,-0.140791
-2,2,-4,0,0.228845
-2,2,-4,1,0.228845
-2,2,-4,2,0.228845
-2,2,-4,3,0.228845
-2,2,-4,4,0.228845
-2,2,-3,0,0.091412
-2,2,-3,1,0.091412
-2,2,-3,2,0.091412
-2,2,-3,3,0.091412
-2,2,-3,4,0.091412
-2,2,-2,0,0.102943
-2,2,-2,1,0.102943
-2,2,-2,2,0.102943
-2,2,-2,3,0.102943
-2,2,-2,4,0.102943
-2,2,-1,0,0.009872
-2,2,-1,1,0.009872
-2,2,-1,2,0.009872
-2,2,-1,3,0.009872
-2,2,-1,4,0.009872
-2,2,0,0,-0.140791
-2,2,0,1,-0.140791
-2,2,0,2,-0.140791
-2,2,0,3,-0.140791
-2,2,0,4,-0.140791
-2,3,-4,0,0.228845
-2,3,-4,1,0.228845
-2,3,-4,2,0.228845
-2,3,-4,3,0.228845
-2,3,-4,4,0.228845
-2,3,-3,0,0.091412
-2,3,-3,1,0.091412
-2,3,-3,2,0.091412
-2,3,-3,3,0.091412
-2,3,-3,4,0.091412
-2,3,-2,0,0.102943
-2,3,-2,1,0.102943
